2025-10-24 13:25:24.421 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - Starting NmtelecomApplication using Java 23.0.1 with PID 14828 (E:\Accesos\Documentos\UTP\nmtelecom\target\classes started by Santiago in E:\Accesos\Documentos\UTP\nmtelecom)
2025-10-24 13:25:24.436 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-24 13:25:27.325 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - Started NmtelecomApplication in 4.033 seconds (process running for 4.915)
2025-10-24 13:26:27.663 [http-nio-8087-exec-1] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:26:35.562 [http-nio-8087-exec-6] INFO  c.u.n.controller.LoginController - Intento de login para el usuario: santiago2
2025-10-24 13:26:35.564 [http-nio-8087-exec-6] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:26:36.606 [http-nio-8087-exec-6] INFO  c.u.n.controller.LoginController - LOGIN EXITOSO: Usuario ID 5 (santiago2) ha iniciado sesión.
2025-10-24 13:26:36.645 [http-nio-8087-exec-7] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:26:37.694 [http-nio-8087-exec-7] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:28:10.852 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - Starting NmtelecomApplication using Java 23.0.1 with PID 14828 (E:\Accesos\Documentos\UTP\nmtelecom\target\classes started by Santiago in E:\Accesos\Documentos\UTP\nmtelecom)
2025-10-24 13:28:10.853 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-24 13:28:11.572 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - Started NmtelecomApplication in 0.782 seconds (process running for 169.171)
2025-10-24 13:28:20.952 [http-nio-8087-exec-1] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:28:22.334 [http-nio-8087-exec-1] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:28:34.835 [http-nio-8087-exec-6] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:28:46.899 [http-nio-8087-exec-1] INFO  c.u.n.controller.LoginController - Intento de login para el usuario: santiago2
2025-10-24 13:28:46.904 [http-nio-8087-exec-1] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:28:47.907 [http-nio-8087-exec-1] INFO  c.u.n.controller.LoginController - LOGIN EXITOSO: Usuario ID 5 (santiago2) ha iniciado sesión.
2025-10-24 13:28:47.954 [http-nio-8087-exec-3] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:28:48.987 [http-nio-8087-exec-3] INFO  c.u.n.util.DatabaseConnection - Intentando conectar a la BD...
2025-10-24 13:44:31.514 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - Starting NmtelecomApplication using Java 23.0.1 with PID 4488 (E:\Accesos\Documentos\UTP\nmtelecom\target\classes started by Santiago in E:\Accesos\Documentos\UTP\nmtelecom)
2025-10-24 13:44:31.530 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-24 13:44:34.934 [restartedMain] INFO  c.utp.nmtelecom.NmtelecomApplication - Started NmtelecomApplication in 4.638 seconds (process running for 5.55)
